"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2020 Week 49 ending December 05, 2020","2020/49",13465,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 50 ending December 12, 2020","2020/50",14082,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2020 Week 51 ending December 19, 2020","2020/51",13935,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2020 Week 52 ending December 26, 2020","2020/52",14068,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2020 Week 53 ending January 02, 2021","2020/53",14090,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2021 Week 01 ending January 09, 2021","2021/01",13679,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 02 ending January 16, 2021","2021/02",14284,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2021 Week 03 ending January 23, 2021","2021/03",13904,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 04 ending January 30, 2021","2021/04",13787,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 05 ending February 06, 2021","2021/05",13655,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 06 ending February 13, 2021","2021/06",13357,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 07 ending February 20, 2021","2021/07",13215,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 08 ending February 27, 2021","2021/08",13385,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 09 ending March 06, 2021","2021/09",13008,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 10 ending March 13, 2021","2021/10",12952,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 11 ending March 20, 2021","2021/11",12760,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 12 ending March 27, 2021","2021/12",12875,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 13 ending April 03, 2021","2021/13",12569,Not Applicable,Not Applicable,Not Applicable,0.2%
