Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Synapse Technology Corporation,Seed Round - Synapse Technology Corporation,"$6,000,000","Jan 3, 2019","Palo Alto, California, United States, North America","Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Military, National Security, Security, Software",Synapse uses proprietary deep learning and computer vision systems to modernize the security and defense visual analysis field.,Seed
Altitude Angel,Venture Round - Altitude Angel,"£5,000,000","Jan 3, 2023","Reading, Reading, United Kingdom, Europe","Aerospace, Drones, Internet of Things, Robotics",Altitude Angel makes drones safer by providing the data and cloud services needed to safely unlock their potential.,Venture - Series Unknown
Mind Foundry,Seed Round - Mind Foundry,"£4,500,000","Mar 13, 2019","Oxford, Oxfordshire, United Kingdom, Europe","Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software, Finance, Infrastructure, Insurance, Machine Learning, National Security",Mind Foundry is an Oxford University company that has developed an AI platform to solve the world's most important problems.,Seed
Dark,Seed Round - Dark,"€5,600,000","Apr 15, 2024","Paris, Ile-de-France, France, Europe",Aerospace,Dark is a developer of tactical space platforms for collision avoidance and satellite neutralization.,Seed
Crisalion Mobility,Venture Round - Crisalion Mobility,"€5,400,000","Jan 10, 2024","Madrid, Madrid, Spain, Europe","Aerospace, Electric Vehicle, Manufacturing",Crisalion Mobility is an aircraft manufacturing company that focuses on the design and development of advanced electric mobility solutions.,Venture - Series Unknown
Elistair,Series B - Elistair,"€5,000,000","Mar 30, 2021","Dardilly, Rhone-Alpes, France, Europe","Drones, Law Enforcement, Public Safety, Robotics, Security",The Tethered Drone Company.,Series B
Xsun,Venture Round - Xsun,"€5,300,000","Oct 9, 2019","Guérande, Pays de la Loire, France, Europe","Aerospace, Drones, Energy, Solar",Xsun is a solar cell company that develops non-volatile autonomous drones.,Venture - Series Unknown
Skyrora,Seed Round - Skyrora,"£4,500,000","Dec 1, 2019","Edinburgh, Edinburgh, City of, United Kingdom, Europe",Aerospace,"Skyrora is a launch services provider dedicated to delivering small satellites into orbit in a responsive, versatile, eco-friendly manner.",Seed
Zenith Aerospace,Venture Round - Zenith Aerospace,"$5,775,000","Jul 27, 2021","Palo Alto, California, United States, North America",Aerospace,Zenith Aerospace provides live 24/7 global asset monitoring solutions through a fleet of high altitude solar unmanned aircraft.,Venture - Series Unknown
Mach Industries,Seed Round - Mach Industries,"$5,700,000","Jun 15, 2023","Austin, Texas, United States, North America","Energy, Industrial, National Security",Mach Industries provides defence systems technology that creates a hardware solution using field-sourced hydrogen creation and techniques.,Seed
AIRMO,Pre Seed Round - AIRMO,"€5,200,000","Jun 27, 2023","Weßling, Bayern, Germany, Europe","Aerospace, GreenTech, Information Technology",Space Tech for Climate - setting a new standard for GHG emissions measurement with novel satellite technology.,Pre-Seed
ToffeeX,Series A - ToffeeX,"£5,000,000","Nov 9, 2022","London, England, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Generative AI, Software, Web Design",ToffeeX physics-driven generative design software creates optimized designs that maximize performance in a matter of hours.,Series A
Converus,Venture Round - Converus,"$5,612,454","Mar 6, 2019","Lehi, Utah, United States, North America","Human Resources, Law Enforcement, Security",Converus provides scientifically validated credibility assessment technologies.,Venture - Series Unknown
Anra Technologies,Seed Round - Anra Technologies,"$5,577,391","Aug 18, 2021","Mclean, Virginia, United States, North America","Aerospace, Drones, Mobile Apps","AnraTechnologies provide operators with an off the shelf, field proven DroneOSS operational platform.",Seed
Frontier Aerospace,Seed Round - Frontier Aerospace,"$5,500,019","Jun 24, 2021","Simi Valley, California, United States, North America","Aerospace, Geospatial, Space Travel","Frontier Aerospace focuses on conceptualizing, designing, and proving-out innovative in-space.",Seed
ATLAS Space Operations,Convertible Note - ATLAS Space Operations,"$5,500,000","Mar 1, 2020","Traverse City, Michigan, United States, North America","Aerospace, Enterprise Software, Telecommunications","ATLAS Space Operations is the Satellite Communications as a Service Getting Your Data, Faster",Convertible Note
Sitemark,Series A - Sitemark,"€5,000,000","Sep 23, 2019","Leuven, Vlaams-Brabant, Belgium, Europe","Aerospace, Drones, Renewable Energy, Software",Fast and accurate solar site visibility,Series A
Labrys Technologies,Seed Round - Labrys Technologies,"£4,300,000","Aug 28, 2023","London, England, United Kingdom, Europe","Artificial Intelligence (AI), Cryptocurrency, Information Technology, National Security, SaaS","SaaS, Mobile App, Payments; Global Network Management System",Seed
Vyoma GmbH,Seed Round - Vyoma GmbH,"€5,000,000","Apr 3, 2024","Munich, Bayern, Germany, Europe","Aerospace, Satellite Communication, Space Travel","Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.",Seed
Castelion,Pre Seed Round - Castelion,"$5,414,995","Apr 21, 2023","El Segundo, California, United States, North America","Aerospace, Government, Manufacturing, Military, National Security",Castelion is a defense tech company that applies modern hardware development and manufacturing processes to national security challenges.,Pre-Seed
Sidereus Space Dynamics,Seed Round - Sidereus Space Dynamics,"€5,100,000","Sep 25, 2023","Napoli, Campania, Italy, Europe","Aerospace, Air Transportation",Sidereus Space Dynamics develops space vehicles.,Seed
VULCAN ELEMENTS,Seed Round - VULCAN ELEMENTS,"$5,201,998","Dec 26, 2023","Cambridge, Massachusetts, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing","VULCAN ELEMENTS is changing the way to electrify aerospace, defense, and auto with decarbonization.",Seed
MightyFly,Seed Round - MightyFly,"$5,100,000","Apr 21, 2021","San Francisco, California, United States, North America","Aerospace, Autonomous Vehicles, Delivery Service, Drones, Freight Service, GreenTech, Logistics, Robotics, Transportation",Remaking the future of logistics,Seed
Voyager Space,Venture Round - Voyager Space,"$5,058,010","Sep 6, 2019","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Venture - Series Unknown
American Robotics,Series A - American Robotics,"$5,025,000","Jan 25, 2019","Waltham, Massachusetts, United States, North America","AgTech, Computer Vision, Industrial Automation, Machine Learning, Military, Mining, Oil and Gas, Railroad, Robotics, Security","American Robotics is a Robot-as-a-Service company that develops FAA-approved pilotless, AI-powered drones for industrial purposes.",Series A
UTVATE,Seed Round - UTVATE,"$5,015,000","Mar 31, 2020","San Francisco, California, United States, North America","Aerospace, Internet, Telecommunications",UTVATE unlocks satellite internet capacity through user terminal innovation.,Seed
Auriga Space,Pre Seed Round - Auriga Space,"$5,000,000","Aug 3, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Hardware, National Security, Space Travel","Next-generation space launch company providing efficient, clean and flexible transport to space",Pre-Seed
INTERSTELLAR LAB,Seed Round - INTERSTELLAR LAB,"$5,000,000","Mar 7, 2022","Dover, Delaware, United States, North America","Aerospace, AgTech, Biotechnology, Farming, Natural Resources","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.",Seed
Fenix24,Seed Round - Fenix24,"$5,000,000","Mar 17, 2023","Chattanooga, Tennessee, United States, North America","Information Technology, National Security, Risk Management",Fenix24 is a part of the Conversant Group family of companies that focuses on post-incident disaster recovery and restoration.,Seed
Slingshot Aerospace,Seed Round - Slingshot Aerospace,"$5,000,000","Apr 17, 2019","Austin, Texas, United States, North America","Aerospace, Analytics, Simulation, Software","Slingshot Aerospace builds space data, analytics, and simulation solutions.",Seed
Hydrosat,Seed Round - Hydrosat,"$5,000,000","Nov 16, 2021","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Seed
