"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2020 Week 04 ending January 25, 2020","2020/04",11855,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 05 ending February 01, 2020","2020/05",11937,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 06 ending February 08, 2020","2020/06",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 07 ending February 15, 2020","2020/07",11789,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 08 ending February 22, 2020","2020/08",11768,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 09 ending February 29, 2020","2020/09",11770,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 10 ending March 07, 2020","2020/10",11688,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 11 ending March 14, 2020","2020/11",11552,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 12 ending March 21, 2020","2020/12",11718,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 13 ending March 28, 2020","2020/13",11758,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 14 ending April 04, 2020","2020/14",11574,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 15 ending April 11, 2020","2020/15",11532,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 16 ending April 18, 2020","2020/16",11199,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 17 ending April 25, 2020","2020/17",11348,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 18 ending May 02, 2020","2020/18",11082,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 19 ending May 09, 2020","2020/19",11000,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 20 ending May 16, 2020","2020/20",11260,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 21 ending May 23, 2020","2020/21",11101,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 22 ending May 30, 2020","2020/22",10891,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 23 ending June 06, 2020","2020/23",11069,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 24 ending June 13, 2020","2020/24",11117,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 25 ending June 20, 2020","2020/25",11147,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 26 ending June 27, 2020","2020/26",11344,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 27 ending July 04, 2020","2020/27",11283,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 28 ending July 11, 2020","2020/28",11319,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 29 ending July 18, 2020","2020/29",11354,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 30 ending July 25, 2020","2020/30",11547,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 31 ending August 01, 2020","2020/31",11499,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 32 ending August 08, 2020","2020/32",11513,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 33 ending August 15, 2020","2020/33",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 34 ending August 22, 2020","2020/34",11508,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 35 ending August 29, 2020","2020/35",11561,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 36 ending September 05, 2020","2020/36",11363,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 37 ending September 12, 2020","2020/37",11460,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 38 ending September 19, 2020","2020/38",11609,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 39 ending September 26, 2020","2020/39",11858,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 40 ending October 03, 2020","2020/40",11412,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 41 ending October 10, 2020","2020/41",11814,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 42 ending October 17, 2020","2020/42",11304,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 43 ending October 24, 2020","2020/43",11666,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 44 ending October 31, 2020","2020/44",11513,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 45 ending November 07, 2020","2020/45",11795,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 46 ending November 14, 2020","2020/46",11739,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 47 ending November 21, 2020","2020/47",11608,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 48 ending November 28, 2020","2020/48",11380,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 49 ending December 05, 2020","2020/49",11341,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 50 ending December 12, 2020","2020/50",11888,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 51 ending December 19, 2020","2020/51",11774,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 52 ending December 26, 2020","2020/52",11683,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 53 ending January 02, 2021","2020/53",11680,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 01 ending January 09, 2021","2021/01",11322,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 02 ending January 16, 2021","2021/02",11837,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 03 ending January 23, 2021","2021/03",11566,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 04 ending January 30, 2021","2021/04",11681,Not Applicable,Not Applicable,Not Applicable,0.2%
